trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000499833375, 'e': 0.9900498337491681}",20,0,-125.4304694495736,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.9980019986673331, 'e': 0.9801986733067553}",20,13,-9.555744365362141,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.997004495503373, 'e': 0.9704455335485082}",25,0,-160.46130788835322,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
4,False,"{'a': 0.9960079893439915, 'e': 0.9607894391523232}",20,0,-111.99527414686165,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.9950124791926823, 'e': 0.951229424500714}",20,0,-151.80139412947995,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
6,False,"{'a': 0.9940179640539353, 'e': 0.9417645335842487}",20,4,-47.17651797559152,"{0: 11, 1: 4, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.9930244429332351, 'e': 0.9323938199059483}",25,0,-137.9521541120543,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.9920319148370607, 'e': 0.9231163463866358}",20,0,-38.745357104320405,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.9910403787728836, 'e': 0.9139311852712282}",30,0,-104.29199611852755,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.9900498337491681, 'e': 0.9048374180359595}",25,0,-30.659080140752895,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.9890602787753687, 'e': 0.8958341352965282}",25,0,-67.03477971994688,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.9880717128619305, 'e': 0.8869204367171575}",20,1,-83.13175267387102,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 1}",1
13,False,"{'a': 0.9870841350202876, 'e': 0.8780954309205613}",25,0,-107.23334964648862,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.9860975442628619, 'e': 0.8693582353988059}",25,0,-213.36059602160068,"{0: 12, 1: 4, 2: 3, 3: 3, 4: 3}",0
15,False,"{'a': 0.9851119396030626, 'e': 0.8607079764250578}",20,0,-138.68013177911337,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
