trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.999000499833375}",25,0,-67.58550394757208,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.001, 'e': 0.9980019986673331}",20,0,-207.17232803666315,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
3,False,"{'a': 0.001, 'e': 0.997004495503373}",30,0,-150.43862552260723,"{0: 19, 1: 2, 2: 4, 3: 4, 4: 1}",0
4,False,"{'a': 0.001, 'e': 0.9960079893439915}",30,0,-162.50027957085348,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.001, 'e': 0.9950124791926823}",30,0,-284.6657602270177,"{0: 13, 1: 1, 2: 11, 3: 1, 4: 4}",0
6,False,"{'a': 0.001, 'e': 0.9940179640539353}",20,0,-177.9175261032392,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.001, 'e': 0.9930244429332351}",20,0,-76.16151105548649,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.001, 'e': 0.9920319148370607}",20,0,-171.93252651264996,"{0: 11, 1: 3, 2: 1, 3: 2, 4: 3}",0
9,False,"{'a': 0.001, 'e': 0.9910403787728836}",20,0,-47.89530995475226,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.001, 'e': 0.9900498337491681}",25,0,-67.12486081661201,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.001, 'e': 0.9890602787753687}",20,0,-41.94906346084169,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.001, 'e': 0.9880717128619305}",25,0,-41.47184608791708,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.001, 'e': 0.9870841350202876}",25,4,-74.69525254986712,"{0: 13, 1: 1, 2: 5, 3: 2, 4: 0}",1
14,False,"{'a': 0.001, 'e': 0.9860975442628619}",25,0,-164.6469023983749,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.001, 'e': 0.9851119396030626}",25,0,-163.7539471477811,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
16,False,"{'a': 0.001, 'e': 0.9841273200552851}",30,0,-115.59840841625568,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.001, 'e': 0.9831436846349096}",25,8,-85.7276530450158,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 1}",1
18,False,"{'a': 0.001, 'e': 0.9821610323583008}",35,0,-145.25651395671142,"{0: 26, 1: 1, 2: 3, 3: 3, 4: 2}",0
19,False,"{'a': 0.001, 'e': 0.981179362242806}",25,10,-74.83501201974855,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 2}",1
20,False,"{'a': 0.001, 'e': 0.9801986733067553}",20,0,-59.021852120694355,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.001, 'e': 0.9792189645694596}",25,0,-103.17477018088775,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
22,False,"{'a': 0.001, 'e': 0.97824023505121}",25,0,-114.32810313996558,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
23,False,"{'a': 0.001, 'e': 0.9772624837732771}",25,1,-1.725490515637778,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
24,False,"{'a': 0.001, 'e': 0.9762857097579093}",30,0,-141.51670794918002,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
25,False,"{'a': 0.001, 'e': 0.9753099120283326}",20,0,-141.08097492708166,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
26,False,"{'a': 0.001, 'e': 0.9743350896087494}",25,5,-86.82578325861024,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",1
27,False,"{'a': 0.001, 'e': 0.9733612415243368}",30,19,-0.4954689575300848,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.001, 'e': 0.9723883668012469}",30,0,-161.02622558065306,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
29,False,"{'a': 0.001, 'e': 0.9714164644666048}",30,0,-63.224880494703896,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.001, 'e': 0.9704455335485082}",20,0,-139.99666871392623,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
31,False,"{'a': 0.001, 'e': 0.9694755730760259}",20,0,-107.2281824079833,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
32,False,"{'a': 0.001, 'e': 0.9685065820791976}",20,0,-129.00478897399336,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 3}",0
33,False,"{'a': 0.001, 'e': 0.967538559589032}",20,11,-82.73335211727755,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
34,False,"{'a': 0.001, 'e': 0.9665715046375066}",20,0,-168.67048826225113,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
35,False,"{'a': 0.001, 'e': 0.9656054162575665}",25,0,-79.27638991759794,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
36,False,"{'a': 0.001, 'e': 0.9646402934831231}",20,0,-75.60430675357988,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.001, 'e': 0.9636761353490535}",20,0,-143.62043732090203,"{0: 8, 1: 6, 2: 4, 3: 0, 4: 2}",0
38,False,"{'a': 0.001, 'e': 0.9627129408911995}",20,0,-146.70907714230165,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
39,False,"{'a': 0.001, 'e': 0.9617507091463667}",35,0,-207.89052688819044,"{0: 21, 1: 4, 2: 5, 3: 2, 4: 3}",0
40,False,"{'a': 0.001, 'e': 0.9607894391523232}",25,0,-82.4501189139553,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
41,False,"{'a': 0.001, 'e': 0.9598291299477989}",20,0,-111.65318681728839,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
42,False,"{'a': 0.001, 'e': 0.9588697805724845}",20,0,-113.69854757409843,"{0: 9, 1: 1, 2: 8, 3: 2, 4: 0}",0
43,False,"{'a': 0.001, 'e': 0.9579113900670306}",20,0,-76.28209217710926,"{0: 14, 1: 3, 2: 0, 3: 2, 4: 1}",0
44,False,"{'a': 0.001, 'e': 0.9569539574730467}",25,0,-48.77832510915736,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
45,False,"{'a': 0.001, 'e': 0.9559974818331}",30,0,-181.44160195914395,"{0: 20, 1: 4, 2: 2, 3: 0, 4: 4}",0
46,False,"{'a': 0.001, 'e': 0.9550419621907147}",20,0,-156.5609127898823,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
47,False,"{'a': 0.001, 'e': 0.9540873975903711}",30,0,-131.63186998502948,"{0: 17, 1: 3, 2: 7, 3: 3, 4: 0}",0
48,False,"{'a': 0.001, 'e': 0.9531337870775047}",30,0,-109.43902056815281,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
49,False,"{'a': 0.001, 'e': 0.9521811296985049}",20,0,-95.93683787413758,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
50,False,"{'a': 0.001, 'e': 0.951229424500714}",25,0,-28.299657606916874,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.001, 'e': 0.950278670532427}",25,6,-57.584938664232936,"{0: 11, 1: 5, 2: 1, 3: 2, 4: 0}",1
52,False,"{'a': 0.001, 'e': 0.9493288668428895}",35,10,-60.01740332584514,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",1
53,False,"{'a': 0.001, 'e': 0.9483800124822982}",25,9,-60.93253093397435,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 0}",1
54,False,"{'a': 0.001, 'e': 0.9474321065017983}",20,0,-147.24848079138565,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
55,False,"{'a': 0.001, 'e': 0.9464851479534838}",20,7,-48.21688876656894,"{0: 8, 1: 4, 2: 0, 3: 0, 4: 1}",1
56,False,"{'a': 0.001, 'e': 0.9455391358903963}",25,0,-89.00425589835477,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
