trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000499833375, 'e': 0.9900498337491681}",25,0,-156.19337875249863,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.9980019986673331, 'e': 0.9801986733067553}",20,10,-27.90106977799395,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
3,False,"{'a': 0.997004495503373, 'e': 0.9704455335485082}",20,0,-64.54336041165872,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.9960079893439915, 'e': 0.9607894391523232}",20,0,-87.43716840301549,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.9950124791926823, 'e': 0.951229424500714}",25,0,-161.32670639476393,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.9940179640539353, 'e': 0.9417645335842487}",25,0,-226.15612978232738,"{0: 9, 1: 4, 2: 6, 3: 4, 4: 2}",0
7,False,"{'a': 0.9930244429332351, 'e': 0.9323938199059483}",30,0,-244.19454673224092,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
8,False,"{'a': 0.9920319148370607, 'e': 0.9231163463866358}",20,10,-54.731641268538006,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.9910403787728836, 'e': 0.9139311852712282}",30,0,-89.88731462689726,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.9900498337491681, 'e': 0.9048374180359595}",20,0,-36.12255713342178,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.9890602787753687, 'e': 0.8958341352965282}",30,0,-84.89173182135825,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.9880717128619305, 'e': 0.8869204367171575}",20,0,-145.13537179305388,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
13,False,"{'a': 0.9870841350202876, 'e': 0.8780954309205613}",30,0,-102.86061738209038,"{0: 16, 1: 3, 2: 11, 3: 0, 4: 0}",0
14,False,"{'a': 0.9860975442628619, 'e': 0.8693582353988059}",20,0,-67.66193947226044,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.9851119396030626, 'e': 0.8607079764250578}",25,0,-84.91872303913891,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.9841273200552851, 'e': 0.8521437889662113}",25,0,-151.41641257394792,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
17,False,"{'a': 0.9831436846349096, 'e': 0.8436648165963837}",20,0,-55.06602648533129,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.9821610323583008, 'e': 0.835270211411272}",20,0,-56.04671748496431,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.981179362242806, 'e': 0.8269591339433623}",25,0,-141.50130400413053,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.9801986733067553, 'e': 0.8187307530779818}",20,0,-90.51656780840783,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-165.81410449916393,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-55.55032823547459,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",35,0,-169.3654755801927,"{0: 24, 1: 3, 2: 4, 3: 1, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",25,8,-125.52039683507986,"{0: 7, 1: 3, 2: 4, 3: 2, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,0,-18.190986553853598,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-55.55452483683162,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",35,0,-20.12975514657732,"{0: 28, 1: 2, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,3,-72.11071262949132,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,0,-75.70864599765022,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-107.95277568693393,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
